month,gross1,gross5,debt1,debt5,net1,net5,ltv1,ltv5
51,2636.042944603185,1874.706893318823,299.2493611747397,317.2980234143983,2336.7935834284453,1557.4088699044246,0.11352218740874384,0.16925207057444625
52,2740.1546787347484,1933.317994387809,299.9873908285862,318.0805659383569,2440.167287906162,1615.2374284494522,0.10947826893009695,0.16452573599465106
53,2866.9828687778945,1999.7699611812586,300.72724066265897,318.86503842328796,2566.2556281152356,1680.9049227579708,0.10489328134382946,0.15945085915528767
54,2861.0847881478,2019.8596187371936,301.4689151660136,319.65144562899576,2559.615872981786,1700.2081731081978,0.10536874559428125,0.15825428790384963
55,2791.735582015044,1976.392693378006,302.21241883877667,320.4397923270237,2489.5231631762676,1655.9529010509823,0.10825252247587254,0.16213366574399504
56,2763.134574308761,1851.5841583401948,302.9577561921735,321.23008330068313,2460.176818116587,1530.3540750395116,0.1096427799822102,0.1734893236441608
57,2814.066926021538,1947.252115445834,303.7049317485552,322.0223233450822,2510.361994272983,1625.2297921007519,0.10792384819998796,0.16537269149216122
58,2876.0854550198446,1966.8793284051753,304.45395004142625,322.8165172671552,2571.6315049784184,1644.0628111380202,0.10585705981372712,0.1641262443532353
59,2923.4463143312114,2003.2487075250756,305.2048156154719,323.6126698856915,2618.2414987157395,1679.636037639384,0.10439898079171422,0.16154393045160154
60,2943.886418303714,2017.1210588548824,305.95753302658585,324.4107860313651,2637.9288852771283,1692.7102728235172,0.10392980215686463,0.16082861492484382
61,2751.89078531741,1923.649811900093,362.8000946356583,401.5018229501703,2389.0906906817518,1522.1479889499228,0.13183666174957304,0.2087187701557724
62,2797.3056551285445,1941.624257258883,363.69485754244715,402.49203475963714,2433.6107975860973,1539.132222499246,0.13001613065617396,0.20729656279009476
63,2804.4038926455946,1992.3927559382262,364.5918271759464,403.4846886985578,2439.812065469648,1588.9080672396683,0.13000688956825004,0.20251262583443552
64,2862.309692311126,2098.267365779872,365.4910089785394,404.47979078988243,2496.8186833325867,1693.7875749899895,0.12769093783259686,0.19276847049448712
65,2893.027589789587,2098.811487985702,366.39240840603196,405.47734707141524,2526.6351813835554,1693.3341409142868,0.1266467038541724,0.1931937905774306
66,2884.665654457191,2106.738549424176,367.2960309276853,406.4773635958514,2517.3696235295056,1700.2611858283249,0.1273270718081883,0.19294153216446897
67,2927.88626926474,2126.8214791356936,368.2018820262494,407.47984643081355,2559.6843872384907,1719.34163270488,0.12575689359638734,0.19159099643680808
68,2973.56036232559,2153.8855967574896,369.10996719799607,408.48480165888884,2604.450395127594,1745.4007950986006,0.12413064549640386,0.18965018489089278
